source_dataset,job_title,job_title_norm,career_family,organization,city_standard,region,sector,economic_activity,organization_size,experience_years,entry_level_flag,salary_sar,vacancies,posting_date_hijri
jadarat_detailed,مساعد إداري,مساعد اداري,Administration & Support,شركة المردف للتجارة,الرياض,الرياض,خاص,البيع بالتجزئة للأجهزة المخبرية والتشخيصية الطبية,صغيرة فئة أ,2.0,True,5000.0,1,28/03/1444
jadarat_detailed,أخصائي مبيعات مستلزمات طبية,اخصايي مبيعات مستلزمات طبيه,Sales & Marketing,شركة المردف للتجارة,الرياض,الرياض,خاص,البيع بالتجزئة للأجهزة المخبرية والتشخيصية الطبية,صغيرة فئة أ,4.0,False,8000.0,2,28/03/1444
jadarat_detailed,محاسب,محاسب,Technology,شركة دليل المواقع لتقنية المعلومات,الرياض,الرياض,خاص,تصميم وبرمجة البرمجيات الخاصة,صغيرة فئة أ,2.0,True,6500.0,1,28/03/1444
jadarat_detailed,سكرتير,سكرتير,Administration & Support,مكتب المحامي سعد بن درويش آل محفوظ,جدة,مكة المكرمة,خاص,أنشطة المحاماة والاستشارات القانونية,صغيرة فئة ب,0.0,True,4000.0,1,28/03/1444
jadarat_detailed,أخصائي تسويق,اخصايي تسويق,Sales & Marketing,شركة حديد السد للصناعة,الرياض,الرياض,خاص,صناعة منتجات أولية من الحديد على شكل كتل من الركائز والمخلفات بعد إعادة صهرها,متوسطة فئة ب,0.0,True,5500.0,1,28/03/1444
jadarat_detailed,سكرتير قانوني,سكرتير قانوني,Administration & Support,مكتب المحامي سعد بن درويش آل محفوظ,جدة,مكة المكرمة,خاص,أنشطة المحاماة والاستشارات القانونية,صغيرة فئة ب,0.0,True,4000.0,1,28/03/1444
jadarat_detailed,أخصائي عمليات موارد بشرية,اخصايي عمليات موارد بشريه,Human Resources,الجمعية الخيرية لرعاية الايتام بمكة المكرمة,الطائف,مكة المكرمة,خاص,الأنشطة الخيرية ، يشمل: جمع التبرعات أو أنشطة الدعم الأخرى التي تدخل في نطاق العمل الاجتماعي,صغيرة فئة ب,2.0,True,1000.0,1,28/03/1444
jadarat_detailed,كاتب موارد بشرية,كاتب موارد بشريه,Human Resources,شركة أرتال الفندقية,الرياض,الرياض,خاص,إدارة مرافق الإيواء السياحي,متوسطة فئة أ,0.0,True,6250.0,1,28/03/1444
jadarat_detailed,عامل تعبئة وتغليف,عامل تعبيه وتغليف,Other,مؤسسة أبعاد الجمال التجارية,الرياض,الرياض,خاص,البيع بالتجزئة لمستحضرات التجميل وصابون الزينة,صغيرة فئة أ,0.0,True,4000.0,1,28/03/1444
jadarat_detailed,مهندس سلامة وصحة مهنية,مهندس سلامه وصحه مهنيه,Engineering,شركة قطاف المستقبل للصناعات الغذائية,TUMAIR...,الرياض,خاص,حفظ الأسماك والمنتجات السمكية بواسطة التبريد أو التجميد,صغيرة فئة ب,4.0,False,8333.0,1,28/03/1444
jadarat_detailed,كاتب موارد بشرية,كاتب موارد بشريه,Human Resources,شركة نور الانشائية للمقاولات شركة شخص واحد,جدة,مكة المكرمة,خاص,ترميمات المباني السكنية والغير سكنية,صغيرة فئة ب,4.0,False,4000.0,1,22/03/1444
jadarat_detailed,موظف استقبال,موظف استقبال,Administration & Support,مجمع الجمال العصري الطبي,مكة المكرمة,مكة المكرمة,خاص,مراكز طب الاسنان,صغيرة فئة ب,0.0,True,4000.0,3,02/04/1444
jadarat_detailed,سكرتير تنفيذي,سكرتير تنفيذي,Administration & Support,شركة السبائك الذهبية للمعادن الثمينة,جدة,مكة المكرمة,خاص,استيراد المعادن الثمينة والأحجار الكريمة,صغيرة فئة أ,2.0,True,5000.0,1,17/03/1444
jadarat_detailed,موظف صندوق محاسبة,موظف صندوق محاسبه,Technology,شركة اسواق بساتين القصيم,الرياض,الرياض,خاص,استيراد المعادن الثمينة والأحجار الكريمة,متوسطة فئة ب,0.0,True,1000.0,10,16/03/1444
jadarat_detailed,موظف استقبال,موظف استقبال,Administration & Support,مركز شار لطب الاسنان,جدة,مكة المكرمة,خاص,استيراد المعادن الثمينة والأحجار الكريمة,متوسطة فئة أ,4.0,False,4000.0,2,12/03/1444
jadarat_detailed,بائع,بايع,Sales & Marketing,شركة محمد سراج عطار وأخويه,جدة,مكة المكرمة,خاص,البيع بالجملة للملابس الجاهزة,صغيرة فئة ب,0.0,True,4000.0,3,07/03/1444
jadarat_detailed,سكرتير,سكرتير,Administration & Support,مؤسسة دمك للمقاولات العامة,BUQAYQ...,المنطقة الشرقية,خاص,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),صغيرة فئة ب,0.0,True,4000.0,1,05/03/1444
jadarat_detailed,محاسب,محاسب,Technology,مؤسسة تركي داود عبدالله الضبيعي للتجارة,الرياض,الرياض,خاص,البيع بالجملة للنجف وأصناف الإضاءة,صغيرة فئة ب,2.0,True,5000.0,1,07/05/1444
jadarat_detailed,فني نظارات,فني نظارات,Other,مؤسسة نظارتي للبصريات,جدة,مكة المكرمة,خاص,البيع بالتجزئة لمعدات فحص النظر (محلات النظارات ),صغيرة فئة ب,0.0,True,5500.0,2,06/05/1444
jadarat_detailed,صيدلي,صيدلي,Healthcare,فرع شركة نسيم العصرية المحدودة,جدة,مكة المكرمة,خاص,البيع بالتجزئة لمعدات فحص النظر (محلات النظارات ),صغيرة فئة ب,0.0,True,7000.0,1,06/05/1444
jadarat_detailed,مدير عمليات موارد بشرية,مدير عمليات موارد بشريه,Human Resources,شركة انكر اليابان,الرياض,الرياض,خاص,خدمات المكاتب العلمية والفنية للمنتجات عدا المستحضرات الصيدلانية,صغيرة فئة ب,7.0,False,32000.0,1,06/05/1444
jadarat_detailed,مساعد صحي,مساعد صحي,Healthcare,مجمع حكماء الدواء الطبي,الباحة,الباحة,خاص,المجمعات الطبية العامة,صغيرة فئة أ,0.0,True,4000.0,4,06/05/1444
jadarat_detailed,محاسب,محاسب,Technology,مجمع حكماء الدواء الطبي,الباحة,الباحة,خاص,المجمعات الطبية العامة,صغيرة فئة أ,2.0,True,4000.0,1,06/05/1444
jadarat_detailed,مساعد إداري,مساعد اداري,Administration & Support,شركة قطاف التجارية شركة شخص واحد,الرياض,الرياض,خاص,أنشطة التخليص الجمركي,صغيرة فئة ب,0.0,True,12325.0,1,06/05/1444
jadarat_detailed,أخصائي تسويق,اخصايي تسويق,Sales & Marketing,مؤسسة تجمع لتقديم المشروبات,جدة,مكة المكرمة,خاص,تقديم العصائر الطازجة و المشروبات الباردة,صغيرة فئة ب,0.0,True,4000.0,1,06/05/1444
jadarat_detailed,محصل,محصل,Other,شركة ايجارة للتمويل (مساهمة مقفلة),الرياض,الرياض,خاص,المصارف المركزية,متوسطة فئة أ,2.0,True,4500.0,2,06/05/1444
jadarat_detailed,فارز بريدي,فارز بريدي,Other,شركة توصيل التجارية شركة شخص واحد,الرياض,الرياض,خاص,أنشطة وكالات النقل والشحن البحري,كبيرة,0.0,True,5625.0,1,06/05/1444
